epoch,accuracy,loss,val_accuracy,val_loss
0,0.9417181015014648,0.19760604202747345,0.9262232184410095,0.24728435277938843
1,0.9619433283805847,0.12434397637844086,0.9436162114143372,0.19687503576278687
2,0.9732375741004944,0.09077878296375275,0.9503058195114136,0.17365258932113647
3,0.98002028465271,0.0664648488163948,0.9602446556091309,0.13186804950237274
4,0.9844090342521667,0.052223701030015945,0.961773693561554,0.13582931458950043
5,0.9889819622039795,0.04026222974061966,0.9615825414657593,0.13278238475322723
6,0.9918976426124573,0.02904275618493557,0.9604358077049255,0.1380140334367752
7,0.9937697649002075,0.02391301840543747,0.9577599167823792,0.14840367436408997
8,0.994598388671875,0.02051396667957306,0.9707568883895874,0.11466965079307556
9,0.9963170886039734,0.014865316450595856,0.9724770784378052,0.10356177389621735
10,0.9967160820960999,0.013046839274466038,0.9732415676116943,0.1042516753077507
11,0.996900200843811,0.012288060039281845,0.966360867023468,0.12420046329498291
